row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,running_sales
740,CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.2717,11.784
741,CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,3,0.2,-64.7748,284.52
742,CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,0.8,-5.487,288.06
7661,CA-2014-105417,2014-01-07,2014-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock""",76.728,3,0.6,-53.7096,364.788
7662,CA-2014-105417,2014-01-07,2014-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""""",10.43,7,0.8,-18.2525,375.21799999999996
593,CA-2014-135405,2014-01-09,2014-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,2,0.2,1.168,384.56199999999995
594,CA-2014-135405,2014-01-09,2014-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,0.2,9.75,415.762
6327,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,0.0,4.0542,429.74199999999996
6328,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0.0,30.0234,702.682
6330,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.716,4,0.1,93.5816,950.3979999999999
6331,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,0.0,15.9792,1016.978
6332,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0.0,12.7368,1060.898
6333,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0.0,4.8609,1075.628
6334,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.7,5,0.0,13.365,1105.328
9887,CA-2014-146997,2014-01-23,2014-01-27,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,47905,Central,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0.0,0.0,1111.268
8150,CA-2014-167997,2014-01-26,2014-01-29,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0.0,5.0196,1121.9479999999999
8151,CA-2014-167997,2014-01-26,2014-01-29,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,0.0,39.7488,1263.908
6388,CA-2014-134103,2014-01-30,2014-02-04,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,10.56,2,0.0,4.752,1274.468
6389,CA-2014-134103,2014-01-30,2014-02-04,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,0.0,6.8982,1504.408
541,CA-2014-140795,2014-02-01,2014-02-03,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,0.0,206.316,1973.308
8981,CA-2014-108182,2014-02-06,2014-02-10,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Romeoville,Illinois,60441,Central,OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.952,2,0.8,-14.7708,1982.26
9255,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,1,0.0,15.2225,2043.15
9256,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-LA-10004853,Office Supplies,Labels,Avery 483,14.94,3,0.0,6.8724,2058.09
9257,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2,0.0,4.4344,2067.73
9259,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-BI-10004654,Office Supplies,Binders,VariCap6 Expandable Binder,51.9,3,0.0,24.393,2119.63
9260,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2,0.0,2.5984,2184.59
5467,CA-2014-107706,2014-02-14,2014-02-19,Second Class,ST-20530,Shui Tom,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000466,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16.176,3,0.2,6.066,2200.766
1333,CA-2014-122567,2014-02-16,2014-02-21,Standard Class,MN-17935,Michael Nguyen,Consumer,United States,Dallas,Texas,75220,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,3,0.8,-1.728,2201.846
1334,CA-2014-122567,2014-02-16,2014-02-21,Standard Class,MN-17935,Michael Nguyen,Consumer,United States,Dallas,Texas,75220,Central,OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.96,2,0.8,-13.93,2209.806
9516,CA-2014-154165,2014-02-17,2014-02-24,Standard Class,DL-13315,Delfina Latchford,Consumer,United States,Chicago,Illinois,60653,Central,OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors,54.208,14,0.2,8.8088,2264.014
6082,US-2014-165589,2014-02-18,2014-02-18,Same Day,TB-21595,Troy Blackwell,Consumer,United States,Lubbock,Texas,79424,Central,FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16,5,0.6,-11.322,2289.174
8223,CA-2014-152905,2014-02-18,2014-02-24,Standard Class,AB-10015,Aaron Bergman,Consumer,United States,Arlington,Texas,76017,Central,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,0.2,-2.5248,2301.798
4521,CA-2014-109491,2014-02-20,2014-02-26,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Richmond,Indiana,47374,Central,TEC-AC-10001284,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3,0.0,22.4316,2364.108
4522,CA-2014-109491,2014-02-20,2014-02-26,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Richmond,Indiana,47374,Central,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",20.32,4,0.0,6.9088,2384.428
2883,CA-2014-165540,2014-02-21,2014-02-25,Standard Class,TM-21010,Tamara Manning,Consumer,United States,Woodstock,Illinois,60098,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,8.85,5,0.8,-13.7175,2393.278
6530,CA-2014-103744,2014-02-23,2014-02-27,Standard Class,MG-17875,Michael Grace,Home Office,United States,El Paso,Texas,79907,Central,OFF-LA-10004425,Office Supplies,Labels,Staple-on labels,6.936,3,0.2,2.3409,2400.214
6531,CA-2014-103744,2014-02-23,2014-02-27,Standard Class,MG-17875,Michael Grace,Home Office,United States,El Paso,Texas,79907,Central,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,4.428,3,0.8,-6.8634,2404.642
6548,CA-2014-113880,2014-03-01,2014-03-05,Standard Class,VF-21715,Vicky Freymann,Home Office,United States,Elmhurst,Illinois,60126,Central,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.116,6,0.3,-172.1172,3038.758
6549,CA-2014-113880,2014-03-01,2014-03-05,Standard Class,VF-21715,Vicky Freymann,Home Office,United States,Elmhurst,Illinois,60126,Central,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"""" Rapid Memo Book""",17.472,3,0.2,5.6784,3056.23
7948,CA-2014-131009,2014-03-01,2014-03-05,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,Texas,79907,Central,OFF-FA-10004395,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,0.2,-3.5325,3075.0699999999997
7949,CA-2014-131009,2014-03-01,2014-03-05,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,Texas,79907,Central,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0.3,0.0,3437.3199999999997
7950,CA-2014-131009,2014-03-01,2014-03-05,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,Texas,79907,Central,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.552,6,0.6,-34.9536,3500.872
